FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"HAWK Harris, Young, Chirp 02.wav"	HARRIS HAWK CHIRP Multiple tiny chirps of young Harris Hawk.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Young, Chirp 02"	BOOM Library		HARRIS HAWK CHIRP Multiple tiny chirps of young Harris Hawk.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Young, Chirp 03.wav"	HARRIS HAWK CHIRP Several short chirps of young Harris Hawk.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Young, Chirp 03"	BOOM Library		HARRIS HAWK CHIRP Several short chirps of young Harris Hawk.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Red Tailed, Scream Long.wav"	"RED TAILED HAWK SCREAM very long male scream. High, dropping pitch. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Red Tailed, Scream Long"	BOOM Library		"RED TAILED HAWK SCREAM very long male scream. High, dropping pitch. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Red Tailed, Scream Medium.wav"	RED TAILED HAWK SCREAM Medium length female calls. High pitch.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Red Tailed, Scream Medium"	BOOM Library		RED TAILED HAWK SCREAM Medium length female calls. High pitch.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Red Tailed, Scream Nervous.wav"	"RED TAILED HAWK SCREAM Anxious female, short, high screams with a few whistle sounds."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Red Tailed, Scream Nervous"	BOOM Library		"RED TAILED HAWK SCREAM Anxious female, short, high screams with a few whistle sounds."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Red Tailed, Scream Normal.wav"	"RED TAILED HAWK SCREAM Female call. High, dropping pitch."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Red Tailed, Scream Normal"	BOOM Library		"RED TAILED HAWK SCREAM Female call. High, dropping pitch."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Red Tailed, Scream Short.wav"	RED TAILED HAWK SCREAM Short female calls with a few whistles. High pitch.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Red Tailed, Scream Short"	BOOM Library		RED TAILED HAWK SCREAM Short female calls with a few whistles. High pitch.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call 01.wav"	"HADEDA IBIS CALL Single, startled alert call and Ibis flying away."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call 01"	BOOM Library		"HADEDA IBIS CALL Single, startled alert call and Ibis flying away."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call 02.wav"	"HADEDA IBIS CALL Single, long social call. Descending pitch."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call 02"	BOOM Library		"HADEDA IBIS CALL Single, long social call. Descending pitch."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call 03.wav"	"HADEDA IBIS CALL Single, short social call. Ascending pitch."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call 03"	BOOM Library		"HADEDA IBIS CALL Single, short social call. Ascending pitch."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call, Group 01.wav"	"HADEDA IBIS CALL Startled small group, multiple call. Take flight and fly off."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call, Group 01"	BOOM Library		"HADEDA IBIS CALL Startled small group, multiple call. Take flight and fly off."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call, Group 02.wav"	"HADEDA IBIS CALL Small group, fly overhead and circle."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call, Group 02"	BOOM Library		"HADEDA IBIS CALL Small group, fly overhead and circle."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
